shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
16,6741,47.243969,-1.536475
16,6742,47.248346,-1.536410
16,6751,47.248346,-1.536410
16,6752,47.250299,-1.536018
16,6761,47.250299,-1.536018
16,6762,47.250200,-1.530240
16,6771,47.250200,-1.530240
16,6772,47.252152,-1.529901
16,6781,47.252152,-1.529901
16,6782,47.251420,-1.526735
16,6791,47.251420,-1.526735
16,6792,47.248315,-1.522243
17,15711,47.226473,-1.523471
17,15712,47.227812,-1.525325
17,15721,47.227812,-1.525325
17,15722,47.230100,-1.528497
17,15731,47.230100,-1.528497
17,15732,47.231629,-1.530628
17,15741,47.231629,-1.530628
17,15742,47.234029,-1.536501
17,15751,47.234029,-1.536501
17,15752,47.234650,-1.540958
17,15761,47.234650,-1.540958
17,15762,47.235529,-1.547732
17,15771,47.235529,-1.547732
17,15772,47.235284,-1.549655
17,15781,47.235284,-1.549655
17,15782,47.234265,-1.553079
17,15791,47.234265,-1.553079
17,15792,47.233639,-1.555515
17,15801,47.233639,-1.555515
17,15802,47.234512,-1.557390
17,15811,47.234512,-1.557390
17,15812,47.233466,-1.559914
17,15821,47.233466,-1.559914
17,15822,47.233143,-1.566308
17,15831,47.233143,-1.566308
17,15832,47.231976,-1.568249
17,15841,47.231976,-1.568249
17,15842,47.229968,-1.571819
17,15851,47.229968,-1.571819
17,15852,47.228801,-1.576632
17,15861,47.228801,-1.576632
17,15862,47.228022,-1.580695
17,15871,47.228022,-1.580695
17,15872,47.226722,-1.582948
17,15881,47.226722,-1.582948
17,15882,47.222781,-1.585177
17,15891,47.222781,-1.585177
17,15892,47.219953,-1.586780
17,15901,47.219953,-1.586780
17,15902,47.217163,-1.587467
17,15911,47.217163,-1.587467
17,15912,47.213773,-1.586105
17,15921,47.213773,-1.586105
17,15922,47.211412,-1.586597
17,15931,47.211412,-1.586597
17,15932,47.209341,-1.587104
17,15941,47.209341,-1.587104
17,15942,47.206322,-1.587851
17,15951,47.206322,-1.587851
17,15952,47.203259,-1.588597
17,15961,47.203259,-1.588597
17,15962,47.200546,-1.589282
17,15971,47.200546,-1.589282
17,15972,47.198272,-1.589191
17,15981,47.198272,-1.589191
17,15982,47.197915,-1.593612
18,54641,47.200492,-1.572849
18,54642,47.203707,-1.569487
18,54651,47.203707,-1.569487
18,54652,47.204246,-1.564348
18,54661,47.204246,-1.564348
18,54662,47.204693,-1.560057
18,54671,47.204693,-1.560057
18,54672,47.205122,-1.555773
