route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12_2,FULLW,12_2_AM_8,,,,
12_2,FULLW,12_2_AM_9,,,,
12_2,FULLW,12_2_AM_10,,,,
12_2,FULLW,12_2_AM_11,,,,
12_2,FULLW,12_2_AM_12,,,,
12_2,FULLW,12_2_AM_13,,,,
12_2,FULLW,12_2_AM_14,,,,
12_2,FULLW,12_2_AM_15,,,,
12_2,FULLW,12_2_AM_16,,,,
13_1,FULLW,13_1_AM_1,,,,
13_1,FULLW,13_1_AM_2,,,,
13_1,FULLW,13_1_AM_3,,,,
13_1,FULLW,13_1_AM_4,,,,
13_1,FULLW,13_1_AM_5,,,,
13_1,FULLW,13_1_AM_6,,,,
13_1,FULLW,13_1_AM_7,,,,
13_1,FULLW,13_1_AM_8,,,,
13_1,FULLW,13_1_AM_9,,,,
13_1,FULLW,13_1_AM_10,,,,
13_1,FULLW,13_1_AM_11,,,,
13_1,FULLW,13_1_AM_12,,,,
13_1,FULLW,13_1_AM_13,,,,
13_2,FULLW,13_2_AM_1,,,,
13_2,FULLW,13_2_AM_2,,,,
13_2,FULLW,13_2_AM_3,,,,
13_2,FULLW,13_2_AM_4,,,,
13_2,FULLW,13_2_AM_5,,,,
13_2,FULLW,13_2_AM_6,,,,
13_2,FULLW,13_2_AM_7,,,,
13_2,FULLW,13_2_AM_8,,,,
13_2,FULLW,13_2_AM_9,,,,
13_2,FULLW,13_2_AM_10,,,,
13_2,FULLW,13_2_AM_11,,,,
13_2,FULLW,13_2_AM_12,,,,
13_2,FULLW,13_2_AM_13,,,,
14_1,FULLW,14_1_AM_1,,,,
14_1,FULLW,14_1_AM_2,,,,
14_1,FULLW,14_1_AM_3,,,,
14_1,FULLW,14_1_AM_4,,,,
14_1,FULLW,14_1_AM_5,,,,
14_1,FULLW,14_1_AM_6,,,,
14_1,FULLW,14_1_AM_7,,,,
14_1,FULLW,14_1_AM_8,,,,
14_1,FULLW,14_1_AM_9,,,,
14_1,FULLW,14_1_AM_10,,,,
14_1,FULLW,14_1_AM_11,,,,
14_1,FULLW,14_1_AM_12,,,,
