shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
671070,47.269488,-1.435727,21692
671070,47.269488,-1.435727,21701
671070,47.271476,-1.432805,21702
671070,47.271476,-1.432805,21711
671070,47.274136,-1.429006,21712
671070,47.274136,-1.429006,21721
671070,47.293188,-1.389856,21722
671070,47.293188,-1.389856,21731
671070,47.297383,-1.394090,21732
671070,47.297383,-1.394090,21741
671070,47.302257,-1.385971,21742
671070,47.302257,-1.385971,21751
671070,47.308759,-1.381118,21752
671070,47.308759,-1.381118,21761
671070,47.306464,-1.378541,21762
671070,47.306464,-1.378541,21771
671070,47.308205,-1.373100,21772
671070,47.308205,-1.373100,21781
671070,47.310766,-1.359783,21782
671070,47.310766,-1.359783,21791
671070,47.313698,-1.350417,21792
671070,47.313698,-1.350417,21801
671070,47.319265,-1.347393,21802
671070,47.319265,-1.347393,21811
671070,47.323915,-1.347842,21812
671070,47.323915,-1.347842,21821
671070,47.326762,-1.348001,21822
7111141,47.206002,-1.751600,22321
7111141,47.209667,-1.746233,22322
7111141,47.209667,-1.746233,22331
7111141,47.210502,-1.742270,22332
7111141,47.210502,-1.742270,22341
7111141,47.213417,-1.739179,22342
7111141,47.213417,-1.739179,22351
7111141,47.215764,-1.740144,22352
7111141,47.215764,-1.740144,22361
7111141,47.218244,-1.739182,22362
7111141,47.218244,-1.739182,22371
7111141,47.219179,-1.735022,22372
7111141,47.219179,-1.735022,22381
7111141,47.218883,-1.727838,22382
7111141,47.218883,-1.727838,22391
7111141,47.217469,-1.724820,22392
7111141,47.217469,-1.724820,22401
7111141,47.216829,-1.721606,22402
7111141,47.216829,-1.721606,22411
7111141,47.215861,-1.717998,22412
7111141,47.215861,-1.717998,22421
7111141,47.214622,-1.713459,22422
7111141,47.214622,-1.713459,22431
7111141,47.212844,-1.708374,22432
7111141,47.212844,-1.708374,22441
7111141,47.213740,-1.701966,22442
7111141,47.213740,-1.701966,22451
7111141,47.213823,-1.698541,22452
7111141,47.213823,-1.698541,22461
7111141,47.218660,-1.695982,22462
7111141,47.218660,-1.695982,22471
